日期,策略,證券代號,快照收盤,市況
2026-05-03,策略1,00878,25.389999389648438,bull
2026-05-03,策略1,00992A,17.3799991607666,bull
2026-05-03,策略1,00993A,12.770000457763672,bull
2026-05-03,策略1,00900,15.399999618530273,bull
2026-05-03,策略1,00988A,17.040000915527344,bull
2026-05-03,策略1,00888,26.709999084472656,bull
2026-05-03,策略1,6706,151.5,bull
2026-05-03,策略1,00981D,10.369999885559082,bull
2026-05-03,策略1,00922,33.81999969482422,bull
2026-05-03,策略1,00984A,14.170000076293945,bull
2026-05-03,策略1,00902,16.940000534057617,bull
2026-05-03,策略1,8358,388.5,bull
2026-05-03,策略1,00987A,16.459999084472656,bull
2026-05-03,策略1,00719B,30.989999771118164,bull
2026-05-03,策略1,00995A,16.110000610351562,bull
2026-05-03,策略1,00864B,46.5099983215332,bull
2026-05-03,策略1,6015,14.199999809265137,bull
2026-05-03,策略1,3498,87.69999694824219,bull
2026-05-03,策略1,5864,28.5,bull
2026-05-03,策略1,3680,537.0,bull
2026-05-03,策略1,00989A,15.720000267028809,bull
2026-05-03,策略1,6274,1010.0,bull
2026-05-03,策略1,00904,34.939998626708984,bull
2026-05-03,策略1,00994A,16.81999969482422,bull
2026-05-03,策略1,00923,35.400001525878906,bull
2026-05-03,策略1,00892,38.189998626708984,bull
2026-05-03,策略1,6446,661.0,bull
2026-05-03,策略1,00770,58.95000076293945,bull
2026-05-03,策略1,2417,47.150001525878906,bull
2026-05-03,策略1,3006,169.5,bull
2026-05-03,策略1,6125,55.79999923706055,bull
2026-05-03,策略1,4908,214.0,bull
2026-05-03,策略1,00938,20.260000228881836,bull
2026-05-03,策略1,3665,2770.0,bull
2026-05-03,策略1,6217,278.0,bull
2026-05-03,策略1,4543,38.5,bull
2026-05-03,策略1,4949,105.5,bull
2026-05-03,策略1,6937,331.0,bull
2026-05-03,策略1,1591,64.9000015258789,bull
2026-05-03,策略1,5236,163.5,bull
2026-05-03,策略1,009804,19.489999771118164,bull
2026-05-03,策略1,3228,198.0,bull
2026-05-03,策略1,8091,192.0,bull
2026-05-03,策略1,5302,11.100000381469727,bull
2026-05-03,策略1,8121,28.5,bull
2026-05-03,策略1,7610,640.0,bull
2026-05-03,策略1,00920,26.079999923706055,bull
2026-05-03,策略1,00962,12.279999732971191,bull
2026-05-03,策略2,00888,26.709999084472656,bull
2026-05-03,策略2,00981D,10.369999885559082,bull
2026-05-03,策略2,3711,478.0,bull
2026-05-03,策略2,8358,388.5,bull
2026-05-03,策略2,00719B,30.989999771118164,bull
2026-05-03,策略2,00864B,46.5099983215332,bull
2026-05-03,策略2,6015,14.199999809265137,bull
2026-05-03,策略2,3498,87.69999694824219,bull
2026-05-03,策略2,5864,28.5,bull
2026-05-03,策略2,3680,537.0,bull
2026-05-03,策略2,6274,1010.0,bull
2026-05-03,策略2,8028,245.0,bull
2026-05-03,策略2,6125,55.79999923706055,bull
2026-05-03,策略2,4908,214.0,bull
2026-05-03,策略2,3533,2615.0,bull
2026-05-03,策略2,6217,278.0,bull
2026-05-03,策略2,4543,38.5,bull
2026-05-03,策略2,1591,64.9000015258789,bull
2026-05-03,策略2,5236,163.5,bull
2026-05-03,策略2,3228,198.0,bull
2026-05-03,策略2,8091,192.0,bull
2026-05-03,策略2,5302,11.100000381469727,bull
2026-05-03,策略2,8121,28.5,bull
2026-05-03,策略2,5269,1365.0,bull
2026-05-03,策略3,2313,244.5,bull
2026-05-03,策略3,3680,537.0,bull
2026-05-03,策略3,4749,1005.0,bull
2026-05-03,策略3,5236,163.5,bull
2026-05-03,策略3,6679,286.0,bull
2026-05-03,策略4,4951,119.0,bull
2026-05-03,策略4,2328,49.54999923706055,bull
2026-05-03,策略4,6207,64.5,bull
2026-05-03,策略4,2233,300.0,bull
2026-05-03,策略4,3707,66.19999694824219,bull
2026-05-03,策略4,4540,68.5,bull
2026-05-03,策略4,5443,129.5,bull
2026-05-03,策略4,6485,87.5999984741211,bull
2026-05-03,策略4,2465,74.0,bull
2026-05-03,策略4,3680,537.0,bull
2026-05-03,策略5,00955,15.140000343322754,bull
2026-05-03,策略5,00857B,23.200000762939453,bull
2026-05-03,策略5,00687B,27.860000610351562,bull
2026-05-03,策略5,00679B,26.81999969482422,bull
2026-05-03,策略5,00931B,13.4399995803833,bull
2026-05-03,策略5,00764B,27.850000381469727,bull
2026-05-03,策略5,1308,15.050000190734863,bull
2026-05-03,策略5,1218,18.950000762939453,bull
2026-05-03,策略5,1305,14.850000381469727,bull
2026-05-03,策略5,1304,14.350000381469727,bull
2026-05-03,策略5,00960,17.15999984741211,bull
2026-05-03,策略5,00985B,10.25,bull
2026-05-03,策略5,5484,39.0,bull
2026-05-03,策略5,00945B,14.479999542236328,bull
2026-05-03,策略5,00719B,30.989999771118164,bull
2026-05-03,策略5,1309,20.799999237060547,bull
2026-05-03,策略5,00669R,5.659999847412109,bull
2026-05-03,策略5,4105,74.19999694824219,bull
2026-05-03,策略5,2031,40.650001525878906,bull
2026-05-03,策略5,00865B,48.060001373291016,bull
2026-05-03,策略5,2027,37.70000076293945,bull
2026-05-03,策略6,6485,87.5999984741211,bull
2026-05-03,策略7,1591,64.9000015258789,bull
2026-05-03,策略7,2542,40.150001525878906,bull
2026-05-03,策略7,8937,37.5,bull
2026-05-03,策略7,2408,215.5,bull
2026-05-03,策略7,5386,379.0,bull
2026-05-03,策略7,6265,39.79999923706055,bull
2026-05-03,策略7,5289,1245.0,bull
2026-05-03,策略7,2451,252.5,bull
2026-05-03,策略7,6903,412.5,bull
2026-05-03,策略7,6735,121.5,bull
2026-05-03,策略7,8271,220.0,bull
2026-05-03,策略7,8299,1900.0,bull
2026-05-03,策略7,3006,169.5,bull
2026-05-03,策略7,3167,861.0,bull
2026-05-03,策略7,3135,141.5,bull
2026-05-03,策略7,5302,11.100000381469727,bull
2026-05-03,策略7,3028,68.30000305175781,bull
2026-05-03,策略7,4967,281.0,bull
2026-05-03,策略7,6531,840.0,bull
2026-05-03,策略7,3017,2835.0,bull
2026-05-03,策略7,7769,4945.0,bull
2026-05-03,策略7,3057,20.149999618530273,bull
2026-05-03,策略7,2337,154.0,bull
2026-05-03,策略7,6805,2070.0,bull
2026-05-03,策略7,2374,78.4000015258789,bull
2026-05-03,策略7,3324,1140.0,bull
2026-05-03,策略7,2344,89.80000305175781,bull
2026-05-03,策略7,2465,74.0,bull
2026-05-03,策略7,4540,68.5,bull
2026-05-03,策略7,3229,40.04999923706055,bull
2026-05-03,策略7,6274,1010.0,bull
2026-05-03,策略7,2388,78.5999984741211,bull
2026-05-03,策略7,2236,132.0,bull
2026-05-03,策略7,5443,129.5,bull
2026-05-03,策略7,6234,52.79999923706055,bull
2026-05-03,策略7,6658,149.5,bull
2026-05-03,策略7,2383,4545.0,bull
2026-05-03,策略7,1727,81.5,bull
2026-05-03,策略7,6861,328.0,bull
2026-05-03,策略7,4764,258.0,bull
2026-05-03,策略7,4576,222.0,bull
2026-05-03,策略7,4543,38.5,bull
2026-05-03,策略7,6716,82.19999694824219,bull
2026-05-03,策略7,2317,219.5,bull
2026-05-03,策略7,6683,2125.0,bull
2026-05-03,策略7,2345,2280.0,bull
2026-05-03,策略7,4949,105.5,bull
2026-05-03,策略7,5236,163.5,bull
2026-05-03,策略7,1570,37.650001525878906,bull
2026-05-03,策略7,5269,1365.0,bull
2026-05-03,策略7,3581,179.5,bull
2026-05-03,策略7,8046,1005.0,bull
2026-05-03,策略7,1597,143.5,bull
2026-05-03,策略7,4931,159.0,bull
2026-05-03,策略7,2449,302.5,bull
2026-05-03,策略7,3483,92.80000305175781,bull
2026-05-03,策略7,8131,60.79999923706055,bull
2026-05-03,策略7,3443,4260.0,bull
2026-05-03,策略7,6672,219.0,bull
2026-05-03,策略7,4749,1005.0,bull
2026-05-03,策略7,4542,199.0,bull
2026-05-03,策略7,6117,88.0999984741211,bull
2026-05-03,策略7,3088,108.0,bull
2026-05-03,策略7,8016,230.0,bull
2026-05-03,策略7,3588,61.20000076293945,bull
2026-05-03,策略7,1711,56.5,bull
2026-05-03,策略7,8064,104.0,bull
2026-05-03,策略7,1568,28.5,bull
2026-05-03,策略7,2436,72.69999694824219,bull
2026-05-03,策略7,8028,245.0,bull
2026-05-03,策略7,4720,26.399999618530273,bull
2026-05-03,策略7,2027,37.70000076293945,bull
2026-05-03,策略7,3189,528.0,bull
2026-05-03,策略7,2535,72.0999984741211,bull
2026-05-03,策略7,3044,448.5,bull
2026-05-03,策略7,2301,166.0,bull
2026-05-03,策略7,3533,2615.0,bull
2026-05-03,策略7,3709,82.5,bull
2026-05-03,策略7,3037,883.0,bull
2026-05-03,策略7,3390,25.350000381469727,bull
2026-05-03,策略7,6664,464.5,bull
